 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
1.43,0,2.35,0,1.41,2.06,0.93,1.37,0.71,1.26,0.65,0.44,0.7,0,0.04,0,0.62,2
0,0,0.67,0.94,0.78,0.41,1.1,1.09,0.36,0.23,0,0,0,0,1.52,0,0,2
0.34,0.85,1.01,0.42,1.23,3.18,2.37,1.13,0.53,2.04,0.42,0.11,0,0,1.84,0.89,0,2
2.21,0,0,0,1.38,3.4,0.26,2.4,0.17,0,0,0,0,0,1.21,0,0.04,2
0.06,0,0.42,0.23,0.1,0,0,0.44,0.55,0,0.14,0,0,0,2.35,0,0,2
1.05,0,0.8,0,0,0.55,0.25,0.52,0,0,0.52,0,0,0,0,0.95,0,2
1.33,0.33,3,0.21,0.6,1.1,0.3,1.65,0.71,1.46,1.25,1.29,1.7,0.09,0.22,0.5,0.93,2
0,0,0.65,0,2.83,4.48,2.54,2.79,1.83,2.36,0,0.72,0,0.95,0.49,0,0.38,2
0,0,1.04,0.68,0.17,0.6,0.87,0.91,0,1.24,1.04,0.99,1.45,0,0.01,0.31,0,2
0,0,0.85,0,2.1,2.99,0.94,1.55,1.7,0.12,0,0,0,0,0.77,1.24,0,2
0,0,2.12,0,1.93,4.21,4.31,1.71,0,1.93,0.6,1.87,0.72,0.1,0,0,0.48,2
0.09,0,0,0,0.3,0,0.45,0.35,0.14,0,0.49,0,0.07,0,0.98,0,1.38,2
0,0,0,0,0.4,3.07,0.55,0,0.06,0,0.79,0.45,0.72,0,1.53,1.04,0,2
0,0,2.65,0.38,0.49,1.96,1.62,1.51,0.19,0,0,0,0,0,1.51,0.72,0,2
0.03,0,2.98,0,0.49,0.92,0.98,0.98,0.49,0.58,0.76,0.88,1.13,0,0,0.94,0,2
0,0.01,0.56,0.76,0,0.57,1.39,0.6,0,0.44,1.4,0.82,0.98,0.24,0,0,0.28,2
0,0,1.56,0,0.94,2.19,1.93,1.31,0.46,0.85,0.29,1.04,0.2,0.52,0,0,0.61,2
0.45,0.35,0,0.94,0,0.3,0.61,1.48,0.45,0,0.22,0,0.14,0,0.65,0.1,0.4,2
0.72,0,1.61,0,3.09,2.07,2.66,2.93,1.29,1.99,0.26,2.2,0,0.42,0,0,0,2
0,0,0.28,0.8,0.79,0.46,1.44,0.26,0.31,0.05,0,0,0,0,0,0,0,2
0,0,1.85,0.3,1.29,1.57,1.13,1.68,0.37,0.83,0.53,1.22,0.23,0.19,0.28,0,0.49,2
0,0,0,0,1.77,2.84,1.62,1.07,0.79,1.01,0,0.35,0,0,0.68,0,0.24,2
0,0,1.39,0,1.32,3.38,2.11,2.2,0.47,1.89,0.06,1.82,0,0.87,0,0.85,0.3,2
