 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
2.22,0.88,2.94,1.2,2.36,3.84,1.54,3.43,1.3,0.51,2.78,0.04,0,0,3.96,0.8,1.05,0
1.8,0.35,1.96,1.27,2.69,3.46,1.27,4,1.14,0.32,1.8,0.78,0.93,0,3.48,0,1.12,0
2.97,2.08,1.93,0,1.2,2.37,0.37,1.67,0.48,0.55,1.19,0.27,0.05,0,3.87,1.91,3.48,0
2.44,1.79,2.96,0.18,1.15,3.01,0.77,0.53,0,0,1,2.1,0,0.37,0.19,1.54,1.69,0
1.9,0.89,2.69,0.27,2.23,4.02,1.75,3.04,1.17,0.22,1.08,0,0.06,0.44,3.68,1.42,2.24,0
2.42,0.7,3.14,1.77,2.6,3.65,1.8,3.04,1.1,0,2.06,0,0.6,0,4.08,0,1.18,0
2.46,1.81,2.65,0.22,1.93,3.16,1.12,3.54,1.46,2.07,1.05,0.42,1.07,0,4.73,1.84,1.08,0
1.83,1.5,2.96,0,2.38,2.9,2.84,2.29,1.31,0,1.64,0,0,0,4.64,0.77,0.94,0
1.33,1,0.79,0.46,2.22,3.81,2.06,2.45,0.8,0.24,1.7,0,0,0,4.74,0.75,0.95,0
0.77,0.26,1.44,0.2,3.37,5,2.48,2.37,2.43,1.44,0.84,0.59,1.53,0.1,4.06,2.2,1.23,0
1.86,1.07,2.15,1.04,2.88,4.12,1.94,4.3,2.1,1.4,1.94,0,0.38,0,4.75,0,0.89,0
2.37,1.43,2.33,0.35,2.18,2.55,1.75,2.67,1.26,1.7,0.66,0,0.03,0,3.88,0.95,0.43,0
2.29,0.87,1.48,0,3.68,3.87,1.96,3.06,2.97,1.51,0.7,0.8,0.08,0.24,3.19,0.84,1.26,0
3.09,2.62,2.28,1.53,2.1,4.23,1.53,3.66,1.69,0.83,1.49,0,0.75,0,5,0,0.58,0
2.94,1.21,2.09,2.65,1.82,3.79,0.69,2.84,0.75,0,2.22,0,0,0.39,3.88,0,1.03,0
2.22,0.61,2.08,0.34,2.34,3.26,1.23,3.64,2.14,1.55,1.95,0.1,0.52,0,4.53,0.62,1.08,0
2.76,2.43,2.53,0.44,2.25,1.38,1.68,2.25,1.34,2.25,2.4,0,0,0,4.96,2.1,1.58,0
0.85,0.38,1.45,0.01,4.21,3.34,2.31,4.37,3.22,1.07,1.01,0.17,0.93,0,4.84,0.85,0.54,0
1.64,0.89,2.05,0,3.25,4.09,2.16,3.45,2.54,0,1.28,0,0.23,0,5,1.33,1.16,0
1.65,0.84,2.45,0,3.14,4.47,2.36,3.72,1.7,1.24,1.7,0,1.62,0,5,0.62,0.73,0
2.22,1.2,2.7,0,2.99,4.07,2.62,3.17,1.99,1.28,1.13,0,1,0,5,1.74,1.03,0
1.73,0.05,1.57,0.4,0.5,0.05,0.37,2.16,1.37,0,0.48,0,0,0,3.12,0.71,0,0
0,0,1.13,0,1.77,0.47,0.85,3.09,1.81,0.17,0.5,0,0.22,0,3.52,0,0,0
0.44,0,0.1,0.71,1.09,1.28,1.25,1.83,1.99,0.44,0.3,0,0,0,2.2,1.03,0.76,0
0,0,0,1.24,1.1,0,0.55,2.29,1.75,0,1.07,0,0.31,0,1.79,0,0,0
1.36,0.37,2.47,0.85,1.75,1.01,1.91,3.24,1.89,0,0.92,0,0,0,3.08,0.07,0.92,0
0.96,0.3,1.53,0.08,1.61,0.83,1.05,2.36,1.24,0,1.16,0,1.19,0.07,3.86,0,1.19,0
2.37,1.07,1.77,0,1.63,0.42,0.97,2.42,0.88,0.06,1.66,0,2.88,0,3.53,0,0.74,0
2.05,1.04,2.38,0.29,1.79,0.51,2.3,2.46,1.58,0.32,0.75,0,1.87,0,3.89,1.16,1.2,0
0,0,1.87,0,1.62,1.17,1.95,3.34,2.3,0,0.55,0.07,0,0,3.6,0.59,0.31,0
1.67,0,2.49,3.48,0,0,0,2.53,1.2,0.11,0.66,1.4,0,0,1.85,1.27,0,0
1.15,0.47,1.71,0,1.35,0,2.34,2.59,1.68,0,0.85,0,0,0,3.58,0,0.6,0
2.09,1.33,0.38,1.22,1.29,0,0.51,3.26,2.54,0,0.86,0,0.14,0,3.13,0,0,0
0.28,0,1.22,0,1.37,0.72,0.91,2.44,1.35,0,0.79,0.04,0,0,2.42,0,0.6,0
0.08,0.41,0.86,0,1.39,0.09,1.2,2.8,1.82,0,0.38,0,0,0,3.39,0,0.63,0
1.81,0.54,2.19,0.9,2.48,2.98,0.75,3.62,1.87,0,1.01,0.37,0.2,0,3.23,0,0.08,0
3.09,1.62,2.5,0,1.81,1.39,0,3.67,2.29,2.62,1.01,1.46,0.26,0,3.78,1,0.7,0
1.07,0.9,1.68,0,3.05,2.64,1.6,3.45,3.34,1.05,0.7,0.27,0,0,4.54,0.57,0.86,0
3.05,2.24,3.62,1.21,0.71,0,1.04,2.66,1.57,0.78,1.12,0,1.03,0,4.4,0.08,0.15,0
2.01,1.08,0.59,2.41,0.91,0,0,3.14,2.49,2.63,1.12,0.95,0,0,2.01,0,0,0
1.67,0.55,3.13,0.89,2.4,3.04,0.45,3.93,1.41,0.27,2.01,0.72,0.37,0,3.45,0,1.3,0
2.15,2.1,3.57,0.18,1.18,2.85,1.28,1.74,0.91,0.96,0.96,0,0.49,0,4.44,0.78,0.59,0
1.93,1.16,2.26,2.15,1.2,1.41,0.17,2.98,0.99,0,1.75,0.32,0.97,0,2.74,0,0.29,0
2.71,1.79,3.17,0,0.49,0,0,3.14,1.69,1.77,1.38,1.93,0.25,0,2.99,0.68,0.92,0
1.53,1.4,1.27,0.05,1.65,3.07,0.61,2.1,0.99,0.36,0.7,0,0,0,4.35,1.79,0.97,0
1.76,0.62,2.46,0.48,1.56,2.6,0.78,2.65,1.48,0,1.59,0.02,0,0,3.82,0.59,1.66,0
1.92,1.2,2.36,0,0.92,0.62,0,2.13,1.48,1.41,0.95,1.3,0,0,2.73,1.84,1.09,0
