 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
2.91,1.77,2.05,0.83,1.19,1.24,0,1.63,0.81,1.45,1.21,2.48,0.55,0,0.76,0.18,0,5
2.61,1.54,3.1,0,1.18,2.11,0.17,1.6,0.69,2.15,1.62,1.53,0.06,0,0.29,0,0,5
2.03,0.92,2.62,0.03,1.39,1.99,0.51,1.31,1.08,0.89,1.45,2.04,1.09,0,1.08,0.16,0,5
3.16,2.63,1.8,1.95,0.67,0.61,0.02,1.28,0.91,1.81,0.34,0,0.14,0,1.27,0.23,0,5
2.13,0,1.72,0.61,0,0,0,0.06,0,0.8,0.41,0,0.64,0,0,0.13,0,5
3,1.65,3.07,0,1.62,2.06,0,2.28,1.42,1.53,1.64,2.51,0.5,0.48,0,0,2.1,5
0.93,0,2.23,0,0.92,2.26,0,1.12,0.52,0.83,2.66,2.44,0.42,0,0.67,0.21,0.19,5
1.71,0.49,2.04,0,0.8,2.01,0,0.58,0.85,0.67,0.83,0.89,1.11,0,1.07,0,0.51,5
2.97,1.24,2.32,0,0.47,0.71,0,0.19,0.12,0.23,2.21,0.76,1.12,0,0.16,0,0,5
2.4,1.53,3.49,0.17,1.18,1.8,0.16,1.36,1,0.24,2.18,2.25,1.87,0.17,1.13,0,0,5
2.28,1.63,2.25,0.02,0.82,1.69,0,0.24,0.25,0,2.02,1.88,1.38,0,0.75,0,0,5
2.36,1.21,2.79,0.18,0.7,1.84,0.15,0.5,0.17,0.09,1.33,1.72,0.97,0,0.25,0,0,5
2.25,0.91,2.7,0,0.83,1.06,0,0.74,0.33,0.15,2.03,1.59,1.35,0,0.85,0,0,5
3.59,0.99,2.59,0,1.11,1.39,0,1,0.58,0.83,2.06,1.26,2.04,0,0.98,0,0.07,5
3.25,2.49,2.58,0.51,0.78,0,0,1.09,0.55,1.12,1.35,1.92,1.67,0,0.82,0,0,5
1.79,0.04,2.52,0.82,0.13,1.34,0,0.38,0,0.89,1.6,0.53,1.28,0,0.33,0.22,0,5
2.09,0.47,1.81,0.18,1.23,1.1,0,1.55,0.61,1.74,2.08,2.58,0.18,0,0,0,0.6,5
2.02,0,1.31,0,1.07,2.75,0,0.73,1.2,1.83,0.91,1.68,1.01,0.42,0.39,0,0.92,5
2.29,0.4,1.74,0,1.41,1.35,0,0.98,1.28,1.12,0.74,1.59,0.61,0.43,0.44,0,0.59,5
2.53,0.83,2.04,0,1.07,1.58,0,0.59,0.93,0.35,0.45,0.84,0.1,0.13,1.12,0,0.16,5
2.75,0.78,1.98,0,1.19,1.52,0,1.13,0.97,1.37,1.69,2.11,1.31,0,0.49,0,0.24,5
1.55,0,1.79,0,1.36,3.58,0,0.89,1.32,1.16,1.04,2.79,1.95,1.38,0.48,0.98,0.94,5
2.6,1.34,1.25,0,0.99,0,0,0.51,1.39,1.77,0,0.99,0.33,0.07,0.84,0,0.13,5
2.47,0.94,2.23,0,0.82,1.22,0,0,1.19,1.18,0,0.6,0.89,0.34,1.75,0,0,5
2.17,0,1.75,0,0.47,1.52,0,0.66,0.41,0,1.29,1.39,1.07,0,0,0,3.95,5
1.54,0.11,1.86,0,1.23,1.6,0,1.39,1.12,2.42,1.08,1.26,1.64,0,0.14,0,0,5
1.21,0,2.08,0.4,0.54,0,0,0.42,0,0.6,1.62,0.84,1.19,0,0,0,0,5
2.54,1.38,2.83,0,1.02,0.62,0,0.92,0.89,1.58,0.68,0.97,0.69,0,1.05,0,0,5
1.58,1.1,1.37,0.77,0.9,1.15,0,0.83,0,0,1.69,1.96,2.19,0,1.1,0,0.07,5
3.22,2.66,2.25,0.77,0.21,0.44,0.43,0.79,0.03,0.64,0.27,1.2,0.47,0,1.03,0,0,5
2.68,1.71,1.97,0,0.88,1.09,0,0.34,0.71,0.77,0.56,0.8,1.18,0,1.17,0,0.09,5
2.29,0.95,2.37,0.55,0.43,0.93,0,0.09,0.58,0.55,2.02,1.57,0.95,0,0.69,0,0.23,5
2.9,1.33,2.28,0,1.72,1.66,0,1.29,1.29,1.59,1.52,1.82,0,0,0,0,1.94,5
2.19,1.27,1.86,0.11,0.57,0.34,0,0.46,0.26,0,1.6,1.42,0.76,0,0.75,0,0,5
2.41,0.68,1.49,0,0.29,0.91,0,0,0.82,0.5,0.02,0.03,0,0,0,0,0,5
2.7,1.49,2.8,0.87,0.87,1.8,0.04,1.12,0.39,0.07,1.44,1.35,2.16,0,1.89,0,0.07,5
1.81,0.92,1.54,0.32,0.83,1.47,0,1.03,0.29,0,1.19,1.54,1.88,0.52,1.62,0,0,5
0,0,0.61,0.92,0.03,0.94,0,0,0.25,0,0,0,0,0,0,0,0.54,5
2.89,1.11,1.17,1.24,0,0,0,0,0,0,1.14,0.61,0.46,0,0.16,0,0,5
1.24,1.35,2.32,0.53,0.75,1.59,0.31,0.81,0.24,0,0.81,1.64,1.27,0.31,1.57,0.34,0.04,5
2.6,1.96,2.74,0,1.38,0.65,0.23,2.45,0.96,2.31,1.8,1.9,1.34,0,1.43,0.08,0,5
1.68,0,2.64,0,1.37,3.4,0,1.19,0.68,0.67,1.71,1.62,1.19,0,0,0,2.67,5
2.5,0.42,3.43,0.16,1.08,1.74,0,1.76,0.63,0.87,1.53,1.34,0,0,0.3,0,0,5
1.55,0.78,3.11,0,1.02,3.91,0,0.48,0.44,0.92,1.72,1.4,1.41,0,0.59,0,2.29,5
2.5,1.44,2.75,0.34,1.37,1.99,0,0.35,1.5,0.61,1.25,0.99,1.01,0,1.02,0,0.05,5
1.98,1.03,2.08,0.4,2.64,3.72,0.83,1.65,1.02,0.77,0.83,0,1.24,0,4.88,3.24,1.36,5
2.71,1.8,0.56,0,0.28,2.72,0.24,0,0,0,0.55,0.01,0.16,0,0.41,0.82,0.78,5
2.81,0.99,1.25,0,1.06,2.66,0.87,0.77,1,0,0.46,0,0.02,0,2.47,1.63,1.48,5
1.92,0,1.09,0.11,1.77,4.19,0,0.03,0.72,0.84,0.83,1.61,1.15,0.38,0,0.18,1.36,5
2.64,0.32,2.56,0.42,0,0,0,0.35,0,0.69,1.19,0.84,0.44,0,0,0,0,5
1.84,0.73,0.9,0.75,0.23,2.22,0.08,0,0.14,0.36,1.23,1.2,0.96,0.61,0.31,0.19,0,5
2.45,1.35,1.39,1.3,0,0.66,0.16,0,0.02,0.02,1.03,0.61,0.58,0,0.82,0.77,0,5
2.52,2.18,1.02,0.24,1.01,3.67,0.51,0,0.58,0.35,0.52,0,0.62,0,1.81,1.8,1.13,5
2.46,0.8,1.38,0,1.36,3.47,0,0,0.77,0.15,0.59,0.1,0.86,0,1.65,0.64,1.06,5
1.03,0.4,0.62,0,1.44,4.57,0.36,0,1.36,0.38,0.3,0,1.34,0,2.01,2.29,1.18,5
3.06,2.41,1.37,0,1.24,3.54,0.47,0.21,0.76,0.6,0.58,0,0.58,0,2.97,3.31,1.1,5
3.66,2.17,1.42,0.09,1.02,4.01,0.18,0.24,0.77,0,0.81,0,0.47,0,1.51,0,0.55,5
2.04,1.54,1.18,0,1.58,4.02,0.02,0.66,1.37,0.58,0.84,0.34,1.71,0,3.16,2.58,2.13,5
2.77,1.76,0.91,0,1.25,3,0,0.08,1.45,1.32,0.26,0.08,1.13,0,2.12,1.08,1.61,5
2.1,1.48,0.53,0,1.69,3.63,0.44,0,1.23,0.52,0.59,0,1.16,0,1.94,0.37,1.61,5
2.07,0.41,2.41,0.8,0,1.41,0,0.09,0,0.02,0.83,0.76,0.87,0,0.18,0,0,5
3.96,1.88,0.89,0.3,1.69,2.69,0,0.36,1.2,0.67,0.41,0.03,0,0,2.49,0.89,1.86,5
2.81,2.5,1.28,0.82,0,1.14,0.02,0,0.49,0.22,0.81,0.22,0.91,0,1.45,1.59,0.59,5
2.97,2.62,1.98,0,1.07,2.03,0.14,1.49,1.19,1.31,0.42,0.42,0.74,0,2.41,1.12,1.03,5
3.72,1.65,1.51,0,0.76,3.11,0,0,1.3,0,1.78,1.6,0.68,0.31,0.69,0.01,0.4,5
4.43,3.26,0.75,1.26,0.72,2.12,0,0,0.29,0.93,0.29,0.69,1,0,1.48,0,1.7,5
2.52,1.57,1.54,0,1.45,3.67,0,0.21,1.63,0.66,0.73,0,1.29,0,3.12,1.8,2.4,5
3.64,3.88,0.79,0.34,1.1,0.85,0.51,0,0.85,0.77,0.48,0,0.41,0,1.8,0.37,1.61,5
2.54,2.17,1.17,0,0.34,2.27,0.11,0,0.28,0.32,0.95,0.79,1.58,0,1.34,1.11,1.03,5
3.71,2.49,1.74,0.61,0,0.23,0,0,0.35,0.09,1.07,1.52,0.9,0,0.4,0,0,5
0.02,0,0.87,0.78,0,0,0,0,0.26,0.28,0.41,0.08,1.53,0.18,0,0,0.33,5
2.63,1.72,1.43,0,1.25,3.62,0.16,0.12,1.27,0.77,0.52,0.3,0.63,0.19,1.95,0.91,2.7,5
2.28,0.44,1.84,0.32,0.84,0.04,0,0.9,0.67,0.76,0.2,0,1.08,0,1.13,0.28,0,5
2.94,2.03,1.1,0,1.58,2.3,1.11,1.67,0.52,0,1.06,0,0.51,0,3.87,2.67,1.69,5
2.42,1.93,0.47,0.56,0.15,2.02,0,0,0,0,1.27,0,0.37,0,0.4,0.36,0,5
2.46,0.31,1.13,0,1.28,4.06,0.41,0,0.86,0.44,0.39,0.5,0.4,0,0.44,0.5,1.12,5
2.72,1.24,1.43,0,0.68,2.65,0.11,0,1.26,1.4,0,0.21,0.7,0.27,0.9,0.71,0.88,5
2.78,0.51,1.04,0.5,0.23,2.03,0,0,0.55,0,1.17,0.96,0.57,0.35,0.21,0,0,5
3.04,2.18,1.84,0.77,0,0,0,0,0.21,0.9,0.82,1.02,0.81,0,0.64,0.12,0,5
2.71,0.57,0.9,0,0.09,2.85,0.05,0,0,0,0.99,1.09,0.77,0,0.13,0,0.26,5
3.26,2.5,0.88,2.17,0,1.43,0,0,0.53,0.73,1.05,0.89,0.89,0.02,1.08,0.73,0,5
3.02,1.19,2.11,0,1.74,4.36,0.06,1.85,1.46,0.88,1.06,0.86,0.87,0,3.3,1.77,1.07,5
2.05,0.72,1.63,0.1,0.7,2.71,0.24,0,0.97,0.1,1.29,1.51,1.05,0.22,0.74,0,0,5
2.17,0,2.28,0.62,0,1.12,0,0,0,0,1.52,0.34,1.37,0,0.64,0,0,5
3,1.42,1.14,0,0.99,2.89,0,0,1.04,0.36,0.34,0.06,0.74,0,1.07,0.53,2.42,5
2.32,0.95,1.3,0,0.58,3.04,0.18,0,0.44,0.09,0.83,0.89,0.66,0.24,0.85,1.05,1.01,5
0,0.06,0,0,0,1.1,0,0,0,0,1.09,0,0.92,0,0.01,0,0.54,5
0,0,0.21,0.59,0.12,1.58,0,0,0,0,0,0,0.98,0.24,0,0,0.01,5
2.58,1.9,1.84,0.84,0,1.51,0,0,0.28,0.26,0.8,0,0.64,0,1.07,1.26,0.27,5
0.44,0,0.49,1.04,0,1.15,0,0,0,0,0.08,0,0.21,0,0,0,0.3,5
0.07,0,0.59,0.14,0.26,0.52,0.51,0.26,0.29,0.02,0.53,0,1.84,0,0.34,0.04,0,5
0.27,0.47,0.03,0,0.26,1.48,0.28,0,0,0.05,0,0,0.49,0.36,0.08,0.13,0,5
0,0.28,0.23,1.73,0,0.02,0,0,0,0.01,0,0,0.78,0.24,0,0.13,0.26,5
0,0,0,0.36,0.45,0.17,0.36,0,0,0,0.1,0,0.55,0.36,0.28,0,0,5
0,0,0.03,0.7,0,1.58,0.52,0,0,0,0.27,0.14,0.74,0.41,0,0.04,0.25,5
0.34,0,1.39,0,0,2.64,1.23,0,0.76,0,0,0,0.1,0.1,0.32,0,0.52,5
0.5,0,0.05,0.75,0,0,0.61,0,0,0,0,0,0.57,0,0,0.12,0,5
1.08,0,0.37,0.49,0,0.48,0,0,0,0,0.15,0,0.89,0,0.23,0.65,0.55,5
0.76,0.29,0.6,1.56,0,0,0.32,0.11,0,0.26,0.05,0.52,1.09,0.73,0,0,0.23,5
2.87,1.32,1.57,0.11,0.09,1.4,0.02,0,0,0.49,0.84,1.63,0.9,0.03,0.37,0,0.2,5
2.91,2.02,2.46,0.18,0.97,1.58,0,0.42,1.2,1.77,0,0.92,0.69,0,1.17,0.92,0.76,5
2.91,0.97,1.95,0,0.7,3.28,0,0,0.25,0.72,0.95,0.44,0.59,0,1.5,0.57,0.41,5
3.23,1.78,1,0,0.95,2.32,0.44,0.11,0.84,1,0.46,0.1,0.68,0,2.05,0.75,1.1,5
2.82,3.37,2.09,0,1.09,1.18,0.48,1.08,1.17,0.85,0.59,0,1.78,0,2.99,2.14,2.72,5
1.69,1.22,0.89,0,1.48,3.99,0.08,0.68,1.08,0.81,0.65,0.27,0.94,0,2.07,0.73,1.89,5
4.42,3.81,0.92,1.05,1.58,2.3,0.08,1.29,1.33,0.61,0.47,0.54,0.93,0,2.12,0.7,0.78,5
3.19,0,2.81,0.09,0.76,1.46,0.09,0,0,0.7,1.26,0.22,1.33,0,0.78,0,0,5
1.69,1.59,0.64,0,0.69,2.78,0.21,0,0,0,1.59,0.25,1.41,0,0.86,1.3,1.03,5
2.12,0.76,1.19,0,0.49,3.31,0.4,0,0,0.09,1.8,1.53,1.02,0.72,0,0.1,0.48,5
2.71,2,1.25,0,1.85,3.73,1.16,1.03,0.95,0.68,0.48,0,0.09,0,2.6,2.76,1.5,5
2.37,1.41,1.35,0.22,1.97,3.47,0.1,0,1.53,0.73,0.55,0,1.75,0,2.05,0.59,1.21,5
3.71,1.27,1.59,0.37,0.98,2.73,0.36,0,0.57,0.02,1.53,1.05,0.52,0,0.63,0,0.86,5
