 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
3.23,3.64,1.23,0.94,0,0.18,0,0.44,0.77,0.4,0.97,1.02,0,0,1.15,0.67,0,6
2.69,3.89,1.4,1.62,0,0,0,0.13,0.6,0.3,0.76,0.87,0,0,0.61,0.74,0,6
4.09,3.84,0.85,2.25,0,1.05,0,0,0.88,0,0.93,0.83,0,0.05,1.72,0.84,0,6
2.9,4.19,0.09,2.3,0,0.72,0,0,0.14,0,0.93,0.19,0,0,1.1,1.38,0,6
2.07,3.11,0.82,2.23,0,0.83,0,0,0.01,0.19,0.75,0.04,0.7,0,1.29,1.92,0,6
2.85,3.46,0.82,3.93,0,0,0,0,0,0,0.43,0.01,0,0,0.71,0.19,0,6
1.93,3.15,0.17,2.97,0,1.05,0.01,0,0.46,0,0.98,0.3,0.44,0,1.8,2.39,0,6
1.97,2.81,0,3.09,0,0.84,0.09,0,0.08,0,0.85,0.29,0.2,0,1.41,2.4,0,6
2.92,4.31,0.03,2.29,0,0,0,0.56,0.62,0,1.19,1.14,0.36,0,2.01,2.76,0,6
4.15,4.89,0,4.22,0.12,0,0,0,0.42,0,0.61,1.06,0.3,0,0.35,0,0,6
3.63,4.83,0.38,3.43,0,0,0,0,0.5,0.1,0.81,0,0.43,0,1.34,0.28,0,6
2.37,3.98,0.42,3.72,0,0,0,0,0.07,0,0.51,0.27,0,0,1.1,1.33,0,6
4.8,5,1.49,3.18,0,0,0,0.13,0.97,0,0.49,0.54,0.01,0,1.23,0,0,6
2.83,4.15,0,3.05,0,0,0,0,0.13,0,0.8,0.09,0,0.01,0.64,0.89,0,6
2.82,3.7,0,2.79,0,0,0,0,0.11,0,1,0.08,0.03,0,1.25,1.57,0,6
1.85,2.11,0.09,2.1,0.03,1.95,0.65,0,0,0,1.11,0.17,0,0,0.58,0.48,0,6
3.1,2.78,1.52,2.26,0,0,0,0.86,0,0,0.94,0.12,0,0,2.37,0.71,0,6
2.85,4.05,0.17,3.05,0,0.12,0.2,0,0.47,0,1.03,0.59,0.41,0,1.66,1.8,0,6
2.61,2.87,1.22,2.3,0,0.78,0.17,0,0.21,0,0.69,0.04,0.08,0,1.1,1.28,0,6
3.17,2.56,0.39,2.31,0,1.36,0,0,0.47,0,1.26,0.32,0.23,0.04,1.29,0.84,0,6
3.06,3.97,1.25,1.86,0,0,0,0,0.54,0.11,0.63,0.46,0.3,0,1.15,0.99,0,6
2.83,3.48,0,2.75,0,0.26,0.03,0,0.01,0,1.07,0.3,0.13,0,1.2,1.52,0,6
4.31,4.61,0.76,4.15,0,0,0,0,0.54,0,0.5,0.13,0.15,0,1.11,0,0,6
4.08,4.35,0.61,2.61,0,0,0,0,0.29,0,0.68,0.19,0.39,0,1.21,0.26,0,6
3.65,5,1.35,2.86,0,0,0,0,0.43,0,0.4,0.19,0.16,0,1.24,0.24,0,6
2.13,3.23,0.08,2.84,0,0.36,0,0,0,0,0.33,0,0.01,0,0.65,1.64,0,6
3.41,3.53,0.45,2.39,0,1.42,0,0.37,0.6,0.51,1.35,1.13,0.89,0,1.61,0.9,0,6
2.12,2.24,1.26,2.34,0,0.53,0,0.45,0,0,0.5,0,0.08,0,2.26,0.67,0,6
3.3,3.03,0.93,2.85,0,1.2,0,0.37,0.8,0.21,1.39,0.27,0.66,0,1.91,0.65,0,6
1.95,2.13,0.48,1.71,0.68,2.99,0.86,0.18,0.56,0,0.71,0.61,0,0,1.53,2.83,0,6
2.57,2.74,0.87,2.89,0,0.56,0.25,0.02,0.56,0,1.26,0.18,0.5,0,1.79,1.41,0,6
3.03,3.16,0.05,3.67,0,0,0,0,0.14,0,0.98,0,0.55,0,0.83,0,0,6
2.37,2.71,0.33,2.52,0,1.74,0.05,0,0.48,0,0.75,0,0.26,0,1.47,2.02,0,6
0,0.34,0,0,0,1.18,0,0,0,0,0.97,0,1.18,0,0,0,0.28,6
2.96,3.46,1.06,1.62,0,0.2,0.02,0,0.26,0,1.05,0.54,0.11,0,1,1.58,0,6
0,0,1,0.1,0.14,0.8,0.6,0.1,0.33,0,0.49,0,1.69,0,0.25,0,0.03,6
0,0,0.01,0.34,0.31,1.05,0,0,0,0,0,0,0.89,0.11,0,0,0,6
0.3,0.32,0.03,1.82,0,0.98,0,0,0,0.24,0,0,0.51,0.06,0,0.43,0,6
0,0,0,0.4,0.08,1.05,0,0,0,0,0.11,0,0.2,0,0,0,0.3,6
