 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
1.59,1.33,0,2.44,0.12,0.93,0,0,0,0,1.82,0.34,1.13,0,0.96,0,0,4
2.4,2.01,0.49,0,0.19,0.53,0.95,0.27,0.23,0.78,0.4,0.31,0.21,0,0,0,0,4
1.35,0.99,0,0,0.6,0.24,0.13,0.45,0.67,0.78,0.73,0.7,0.47,0.48,0.04,0,0,4
1.48,1.99,0,0.96,0,0.31,0.02,0,0,0.31,0.61,0.63,0.04,0.29,0,0,0,4
1.14,1.67,0,0.6,0,0.41,0,0,0,0,0.57,0.25,0.15,0,0,0,0,4
1.5,1.32,0,1.14,0,0,0,0,0,0,0.93,0.1,0.35,0,0,0,0,4
1.91,0.4,0.69,0.99,0,0.77,0,0,0,0,1.35,0,1.16,0,0.78,0,0,4
1.11,1.43,0,1.62,0,0,0,0.14,0,0,1.7,0,1.02,0,1.23,0,0,4
1.06,0.07,0.86,0,0.08,1.36,0,0,0.07,0,1.33,0.15,0.75,0,0.83,0,0,4
0.88,1.04,1.06,0.09,0.48,0,0.25,0.58,0.45,1.26,1.11,0.67,0.22,0,0.84,0.47,0,4
1.6,0,2.39,0.25,0,0,0,0.45,0,0.31,1,0.29,1.02,0,0.29,0,0,4
2.37,0.19,0,1.1,0,0,0,0,0,1.03,1.66,0.22,1.38,0,0,0,0,4
0.21,0,0.05,0,0,1.08,0,0,0,0,0.7,0,0.62,0,0.55,0.17,0,4
0.64,0,0.24,0.48,0,0,0,0,0,0,0.93,0,0,0,0.3,0,0,4
2.39,3.44,0,0.64,0,0,0,0,0,0,0.64,0.28,0.08,0,0,0.7,0,4
0.87,0.57,0,0.81,0,0,0,0,0.02,0,0,0.09,0.56,0.07,0,0.56,0.6,4
0.74,0.83,0,0,0,0,0,0.23,0.49,0,0.95,0.84,0,0,0,0.84,0.19,4
0.22,0.36,0,0.27,0,0.33,0.03,0,0,0,0.71,0.06,0.12,0,0,0,0,4
0,0.3,0,2.15,0,0,0,0,0,0,0.68,0.15,0.1,0,0,0,0,4
1.49,0.59,0.42,1.04,0,0,0.42,0,0,0,1.1,0.19,0,0,0.32,0,0,4
1.98,1.51,0,0,0.56,1.54,1.21,0.26,0.47,0,1.27,0,0,0.23,0.99,0,0,4
2.05,0.2,0.52,1.93,0.09,0,0,0,0,0,0.63,1.07,0.31,0,0,0.51,0,4
2.31,0,1.32,0.16,0.36,0,0.57,0.15,0,0,2.23,0.01,2,0.37,1.79,0,0.95,4
3.16,2.58,0,0.63,0,0,0,0,0,0,0.25,0.51,0.19,0.07,0,0,0,4
2.7,0.96,0,0.84,0,0,0,0,0,0.71,0.92,0,0.8,0,0,0,0.5,4
0.46,1.13,0.39,0.37,0,0.73,0,0,0,0.05,0.28,0,0.76,0,0,0.45,0,4
2.01,2.84,0,1.1,0,0,0,0,0,0,0.35,0.2,0,0,0,0,0.14,4
2.4,2.56,0.09,1.25,0.39,0,0,0,1.02,0.85,1.07,0.17,0.59,0,0.7,0,0,4
1.88,0.8,0.44,0,0,0,0,0,0.2,0,1.47,0.12,0.15,0,0.4,0,0,4
1.86,0.97,0.21,1.43,0,0,0,0.13,0.93,0.4,0.95,0.43,0.53,0,1.16,0,0,4
1.77,0.25,1.27,0,0.48,0,0,1.13,0.06,0.31,0.86,0.06,0.51,0,0.09,0.53,0,4
1.34,0.64,0.55,0,0.07,0,0,0,0.42,0,1.11,0.05,1.13,0,0.51,0,0,4
1.09,0.03,1.64,0,0,0,0,0,0.36,0,0.03,0,0.2,0,0,0,0.02,4
0,0,1.07,0.72,0,0.63,0,0,0.4,0.39,0.42,0.5,0.25,0,0.59,0.04,0,4
2.32,1.25,0,0,0,0,0.08,0,0,0,2.18,0,0.11,0,1.21,0,0.59,4
0.74,0,0.34,0.66,0,0.87,0,0.68,0,0.41,1.04,0.6,0.18,0,0,0,0,4
0.96,1.31,0,0.44,0.07,0,0,0.67,0,0.56,0.08,0.99,0.57,0.02,0,0,0,4
0.75,1.81,0,0,0,0.27,0,0,0,0,0.35,0,0.41,0,0,0,0.34,4
0.58,0.12,0.41,1.18,0.52,1.7,0.29,0.3,0,0,1.34,0.28,0.19,0,0.6,0,0,4
1.74,0.87,0.8,1.76,0,0,0,0,0,0.06,1.27,0,0.93,0,0.41,0,0,4
1.89,1.18,1.17,1.58,0,1.36,0,0,0,0,0.25,0,0.85,0,0.21,0,0,4
2.04,1.79,2.62,2.98,0,0,0,0,0.44,0,1.24,0,0.87,0,1.33,0.54,0,4
1.62,0.91,1.36,0.93,0,0.58,0,0,0,0,0.69,1.03,0.53,0.08,1.18,0.93,0,4
2.68,0.72,1.9,0,1.09,1.9,0.05,0.43,0.38,0.04,1.67,0.89,2.65,0,1.83,0,0,4
2.48,0.94,0.46,0.24,0.1,1.22,0.6,0,0,0,1.55,0,0.86,0,0.54,0,0,4
1.31,0.29,0.7,0,0.4,1.04,0,0,0,0.07,0.74,0,1.75,0.52,0,0,0.22,4
2.19,0.42,0.66,0.24,0,0.38,0,0.49,0,0,0.86,0.08,1.04,0.27,1.18,0.22,0,4
2.4,1.55,1.19,0.14,1.09,1.36,0,0.2,0.68,0.48,1.35,1.18,1.54,0,1.42,0,0,4
1.95,2.59,0.5,2.32,0,0,0,0.9,0.34,1.23,0.43,1.75,0.86,0,0,0,0,4
2.73,2.67,1.16,1.65,0,0,0,0.24,0,0,1.64,0.54,1.34,0,1.44,0.25,0,4
1.4,1.07,0.85,0.16,0,0.9,0,0,0,0.13,0.84,0.32,0.35,0,0.1,0,0,4
2.29,1.33,1.41,0.31,0,0,0,0,0,0.3,0.4,0,0,0,0,0,0,4
1.27,1.77,0.31,0,0,0.23,0.02,0.37,0,0.59,0,0,0.31,0,0,0,0.25,4
2.33,0.16,0.72,0.07,0,0,0,0,0,0,0.64,0,1.18,0,0,0,0,4
0.5,0,0.45,0,0,0,0,0,0.14,0.21,0.25,0,0,0,0.39,0,0,4
1.04,1.48,0,0.1,0.23,0,0.23,0,0,0,2.12,0,0.52,0,1.75,1.11,1.11,4
0.99,0,0,0.03,0,0.69,0,0,0,0.62,0.34,0.61,0,0,0,0.22,0.4,4
0.4,0.33,0,0.76,0.46,2.33,0,0,0,0,0.97,0.12,0,0,0.29,0.59,0,4
0,0.29,0.01,0.32,0,0.55,0,0,0.21,0,0.65,0.28,0.45,0,0.22,0,0,4
0.69,0.8,1.21,0,0,1.18,0.12,0,0,0,0.56,0,0.06,0,0.04,0,0,4
1.92,1.97,0.47,0.8,0.87,0.74,0,0.05,0.94,1.05,0.75,0,0.62,0,0.5,0,0,4
1.05,1.52,0,0.68,0,0.31,0,0,0,0,1.01,0.67,0.12,0.04,0,0.63,0.59,4
2.18,1.46,0.19,0.66,0,0.66,0,0,0,0,1.41,0,0.01,0.18,0.11,0.7,0.03,4
1.43,1.69,0.24,0.33,0,0,0,0.13,0.11,0,0.32,0.6,0.02,0,0.18,1.32,0,4
3.08,0.6,1.7,2.33,0.09,0.55,0,0.13,0,0,1.51,0.37,0.5,0,1.96,0,0,4
0.29,0.38,0,2.02,0,0,0,0,0,0,0.29,0.46,0,0,0,0,0,4
1.89,0.75,2.26,1.12,0,0.15,0.54,0,0,0.39,0,0,0.04,0,0.84,0,0,4
0.63,0,0.37,1.46,0.01,0,0,0,0.19,0,1.38,0.51,0.85,0,0,0,0,4
1.68,2.22,0.16,0.39,0,0.33,0,0,0,0,0.54,0.59,0.13,0.34,0,0,0.3,4
1.09,1.08,0,0.21,0,0.75,0,0,0,0.53,0,0.15,0,0,0,0,0,4
2.34,3.67,0.97,3.07,0,0.62,0,0,0,0,0.6,0.36,0,0,0.88,1.03,0.14,4
1.29,1.26,0,0.07,0,0,0,0,0,0,1.29,0,0,0,0,0.54,0.48,4
1.46,1.15,0.48,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,4
0.16,0.03,0,1.36,0,0,0,0,0.42,0,0.49,0.34,0.14,0,0.78,0.41,0,4
1.07,0.06,0.47,0,0.05,0.09,0,0,0,0,1.32,0.33,0.87,0,0.87,0.1,0,4
2.39,1.38,0,0,0,0,0,0.44,0,0,1.74,0,0.05,0,0.78,0,0.92,4
0.91,0.3,0.22,0.28,0,0,0,0.36,0,0,0,0.12,0,0,0,0,0,4
1.12,0.95,0.05,1.93,0.05,1.07,0,0,0.03,0,0.66,0.26,0.47,0,0.48,0,0,4
0.61,0,0.17,0.01,0,0,0,0,0,0,1.17,0.77,1.02,0,0,1.09,1.06,4
0.02,0.07,0,0.12,0,0,0,0,0.3,0.12,0.7,0.33,0.16,0,0.22,0,0,4
0.26,1.29,1.08,0,0,0,0,0.26,0,0.7,0.1,0.15,0.04,0,0,0,0.17,4
2.05,2.17,0.53,0.31,0,0,0.19,0.04,0.04,0,0.46,0.04,0.36,0,0.16,0,0,4
3.09,1.84,1.85,1.76,0,0,0,0,0.3,0.36,1.09,0.25,0.41,0,0.94,0,0,4
1.95,0.44,1.34,0.52,0,0.77,0,0,0,0,0.87,0.01,0.58,0,0.68,0,0,4
2.75,0.09,1.17,0,1.09,1.55,0.28,0,0.57,0,0.93,0,0.9,0.08,0.67,0,0,4
2.73,0.98,1.12,1.32,0.36,0.61,0.41,0,0.13,0.31,0.76,0,1.59,0.4,1.58,0,0.19,4
2.23,1.49,0.77,2.43,0,0,0,0,0,0,0.96,0,0.06,0,0.71,0,0,4
3.21,1.73,1.39,2.05,0,0.67,0,0,0.07,0,0.49,0,0.88,0,0.49,0,0,4
2.94,1.41,1.65,1.92,0,0,0,0.13,0,0,1.51,1.44,1.39,0,1.64,0,0,4
1.01,0.38,1.83,0.82,0.17,1.21,0.45,0,0,0,0.25,1.21,0.26,0.55,0.62,1.87,0.34,4
3.48,3.4,2.67,2.1,0,0.47,0,0,0,0,1.08,0.1,0.99,0,0.86,0.11,0,4
1.64,1.85,0.07,0.44,1.29,1.52,1.47,1.06,0.64,0,1.26,1.36,1.3,0.53,0.64,0.47,0,4
1.56,0,0,0,0.99,1.11,0,0,0.11,0,0.62,0.03,0.49,0,0.64,0.47,0,4
1.49,0,1.25,0.07,0.17,0.26,0,0,0,0.57,0.22,1.19,0.4,0,0,0.89,0.71,4
0.4,0,1.15,0.64,0.38,2.58,0.19,0,0,0,1.13,0,0.52,0,0.46,0,0,4
2.79,2.81,0,2.3,0.19,0.88,0,0.3,0.39,0.9,0,0,0,0,1.05,0.23,0,4
1.56,2.09,1.41,0.09,0.48,0.95,0.74,1.08,0,0.24,0.79,0.87,0.18,0,0.44,0,0.07,4
1.18,1.8,1.12,1.22,0.32,1.42,0,0,0,0,0.86,0.45,2.13,0,0.17,0,0.09,4
1.17,0.66,0,0,0,0,0,0,0.48,0.21,0.74,0,0.1,0,0.4,0,0,4
1.23,0.31,1.55,0,0,0,0,0,0,0.02,0.8,0,0.68,0,0.72,0,0,4
0.83,0,0.21,0.35,0,0.25,0,0,0,0,0.93,0.61,0,0,0,0,0,4
2.64,1.7,0,0,0,0,0.08,0.44,0.32,0,1.95,0.21,0.84,0,1.06,0,0.46,4
0,0,0.78,0.61,0,0.61,0,0,0.25,0.14,0.62,0.59,0.05,0,0.44,0,0,4
0.47,0.77,0,0.31,0,0,0,0,0.14,0.25,0.12,0.38,0,0,0.16,0.18,0,4
0,0.08,0,0.35,0,0,0,0,0.09,0,0.82,0.54,0,0,0.35,0,0,4
3,1.51,2.63,1.91,0,1.03,0,0,0,0,0,0,0,0,0.52,0.44,0,4
0.18,0,0.09,0,0,1.16,0.02,0,0.13,0,0.48,0,0.15,0,0.59,0.11,0.33,4
1.87,1.05,0,0.22,0,0,0,0,0,0,1.17,0.14,0.32,0.01,0,0,0.36,4
3.33,2.62,0,1.23,0,0,0,0,0.06,0.44,0.75,0.17,1.13,0,0.37,0.37,0.15,4
1.24,0.46,0,1.31,0,0,0,0,0,0,0,0,0,0,0.09,0.52,0,4
0.2,0,0.75,1.61,0,0.02,0.02,0,0.11,0,0.77,0,0.15,0,0,0,0,4
2.45,1.88,0.1,1.37,0.32,0,0.23,0,0,1.27,0,0,0.92,0.02,1.03,0.78,0,4
1.41,0.69,1.41,0.56,0.61,2.21,0.71,0,0.15,0.56,0.23,0,0,0.18,1.2,0.69,0,4
0.05,1.25,0,0.56,0,0,0,0,0,0,0.61,0,0,0,0.43,0.16,0,4
3.21,3.62,0.59,1.47,0,0,0,2.26,0.76,1.3,1.9,2.01,0.87,0,1.43,0.6,0.17,4
2.97,3.18,0,1.33,0,0,0,0,0.09,0,0.44,0.6,0,0,0,0,0,4
1.12,0.73,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0.01,4
0,0.04,0.14,0.77,0,0,0,0,0,0,0.65,0,1.58,0.37,0.04,0,0.3,4
2,2.34,0.07,1.08,0,0,0,0.5,0.05,0,0.4,0.56,0,0,0.24,0,0,4
0.88,0.46,0.35,0.72,0,0.07,0,0.5,0.18,1.06,0,0.08,0,0,0.57,0.09,0.36,4
0.97,0.5,0.39,0.63,0.09,1.64,0.68,0.18,0,1.15,0.8,0.02,0,0,0.42,2.31,0.01,4
1.02,1.25,0,2.07,0.05,0.56,1.32,0,0,0.54,0.86,0,0,0,0.41,0,0,4
0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.47,0,4
0.96,1.96,0,0,0,0,0,0,0,0,0.18,0,0.15,0,0,0,0,4
1.31,1.66,0,1.88,0,0,0.93,0.96,0.04,0.16,0.46,0,0,0,0.56,0.19,0,4
1.33,1.23,0.1,0.59,0,0,0,0,0,0,0.52,0,0,0,0.04,0,0,4
2.46,1.49,0.71,2,0,0,0,0,0,0.4,0.51,0,0.36,0,0.18,0,0,4
1.74,1.76,0.28,0.51,1.04,1.85,0,0.23,0.99,0.61,0.26,0,0.45,0,1.05,0.48,0,4
1.74,2.31,0.08,0.37,0.87,3.5,0,0,0.27,0,0,0,0.27,0,0.67,0.91,0,4
2.39,2.58,0.48,0,0.21,0,0,0.46,1.31,0,1.26,0.62,0.7,0.27,1.52,0.63,0.57,4
1.37,1.48,0,0.68,0,0,0.43,1.23,0.46,0,1.63,0,0,0,0.94,0.34,0,4
0.86,0.08,1.46,0.37,0.57,1.14,0,0,0,0,0.84,0,1.36,0,1.23,1.18,0.03,4
1.95,0.05,0.41,0,0.29,1.19,0,0,0,0,0,0,0.61,0,0.43,0.21,0,4
2.77,1.52,0.67,0,0.87,3.68,0,0.42,0.57,0.05,0.99,0,2.21,0,1.04,2.05,0,4
1.94,0.38,0.14,0,0.47,2.24,0,0.53,0,0,0.98,0.22,1.83,0,0.85,0.53,0,4
1.3,0,1.54,0.75,0.56,2.38,0.08,0,0.04,0,1.13,0,1.46,0.51,1.18,0.78,0,4
1.89,0.47,0.57,0.33,0.34,2.75,0,0.1,0,0,0.35,0.01,1.86,0,0.1,0.71,0,4
1.36,0,0.82,0,1.19,2.42,0,0,0,0,1.05,0,2.27,0.17,1.11,0,0,4
1.45,0.28,1.5,0.23,0.23,0.34,0,0,0.12,0,0.92,0,1.31,0.14,1.15,0.43,0,4
1.86,0.99,0.43,0,0,1.36,0,0,0,0,0.24,0,0.9,0,0.22,0.46,0,4
1.9,1.38,0.77,1.77,0.01,0,0.29,1.04,1,0,2.35,0.06,0.33,0,1.14,0,0.18,4
1.44,0,1.72,0.39,1.24,2.98,0.53,0,0.08,0,0.93,0.25,0.92,0,1.16,1.21,0.23,4
